tipe,tingkatKesulitan,status,semester,materi,kurikulum,tujuanPembelajaran,tags,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunciJawaban
"pg","mudah","aktif","ganjil","Matematika - Bilangan","Kurikulum Merdeka - Fase B","Menghitung penjumlahan","matematika, bilangan","Hasil dari 245 + 137 adalah ...","372","382","392","402","b"
"pg","mudah","aktif","ganjil","Matematika - Perkalian","Kurikulum Merdeka - Fase B","Menghitung perkalian","matematika, perkalian","Hasil dari 8 × 7 adalah ...","48","54","56","64","c"
"pg","sedang","aktif","ganjil","Matematika - Pecahan","Kurikulum Merdeka - Fase B","Mengenali pecahan senilai","matematika, pecahan","Pecahan yang senilai dengan 1/2 adalah ...","2/3","2/4","3/4","4/5","b"
"pg","sedang","aktif","genap","Matematika - Keliling","Kurikulum Merdeka - Fase B","Menghitung keliling persegi","matematika, geometri","Persegi dengan sisi 9 cm memiliki keliling ...","18 cm","27 cm","36 cm","81 cm","c"
"pg","sulit","aktif","genap","Matematika - Soal Cerita","Kurikulum Merdeka - Fase B","Memecahkan masalah pembagian","matematika, pembagian","Ada 72 buku dibagikan sama rata kepada 8 siswa. Setiap siswa menerima ...","7 buku","8 buku","9 buku","10 buku","c"
"pg","sedang","aktif","genap","Matematika - Waktu","Kurikulum Merdeka - Fase B","Menghitung lama waktu","matematika, waktu","Belajar dimulai pukul 07.30 dan selesai 09.00. Lama belajar adalah ...","1 jam","1 jam 30 menit","2 jam","2 jam 30 menit","b"
"pg","mudah","aktif","ganjil","Agama - Ciptaan Tuhan","Kurikulum Merdeka - Fase B","Mensyukuri ciptaan Tuhan","agama, syukur","Sikap bersyukur atas kesehatan ditunjukkan dengan ...","merusak tubuh","menjaga kebersihan","malas bergerak","membuang makanan","b"
"pg","mudah","aktif","ganjil","Agama - Kejujuran","Kurikulum Merdeka - Fase B","Menerapkan perilaku jujur","agama, jujur","Ketika menemukan uang di kelas, sebaiknya kita ...","menyimpannya","membelanjakannya","menyerahkan kepada guru","menyembunyikannya","c"
"pg","sedang","aktif","ganjil","Agama - Toleransi","Kurikulum Merdeka - Fase B","Menghormati perbedaan agama","agama, toleransi","Saat teman beribadah, sikap kita adalah ...","mengganggu","menghormati dan menjaga ketenangan","mengejek","memaksanya berhenti","b"
"pg","sedang","aktif","genap","Agama - Berbakti","Kurikulum Merdeka - Fase B","Menunjukkan bakti kepada orang tua","agama, orang tua","Contoh berbakti kepada orang tua ialah ...","membantah nasihat","membantu pekerjaan rumah","berbicara kasar","mengabaikan panggilan","b"
"pg","sulit","aktif","genap","Agama - Tanggung Jawab","Kurikulum Merdeka - Fase B","Menerapkan tanggung jawab","agama, tanggung jawab","Setelah meminjam barang teman, kewajiban kita adalah ...","menghilangkannya","mengembalikan dalam keadaan baik","memberikannya kepada orang lain","membiarkannya rusak","b"
"pg","mudah","aktif","genap","Agama - Berbagi","Kurikulum Merdeka - Fase B","Menerapkan sikap peduli","agama, berbagi","Berbagi makanan dengan teman mencerminkan sikap ...","sombong","peduli","iri","boros","b"
"pg","mudah","aktif","ganjil","English - Greeting","Kurikulum Merdeka - Fase B","Menggunakan sapaan","english, greeting","We say 'Good morning' in the ...","morning","afternoon","evening","night","a"
"pg","mudah","aktif","ganjil","English - Numbers","Kurikulum Merdeka - Fase B","Mengenali angka","english, numbers","The English word for angka dua belas is ...","twenty","twelve","two","thirty","b"
