tipe,tingkatKesulitan,status,semester,materi,kurikulum,tujuanPembelajaran,tags,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunciJawaban
"pg","mudah","aktif","ganjil","Gerak Dasar Lokomotor","Kurikulum Merdeka - Fase B","Siswa mampu mengenali gerak berpindah tempat","gerak dasar, lokomotor, berjalan","Gerakan yang termasuk gerak lokomotor adalah ...","berjalan ke depan","memutar pinggang di tempat","menekuk lutut di tempat","mengayunkan tangan di tempat","a"
"pg","mudah","aktif","ganjil","Gerak Dasar Nonlokomotor","Kurikulum Merdeka - Fase B","Siswa mampu membedakan gerak nonlokomotor","gerak dasar, nonlokomotor, keseimbangan","Contoh gerak nonlokomotor adalah ...","berlari mengelilingi lapangan","melompat ke depan","membungkukkan badan di tempat","berjalan cepat","c"
"pg","mudah","draft","ganjil","Gerak Dasar Manipulatif","Kurikulum Merdeka - Fase B","Siswa mampu mengenali gerak manipulatif","gerak dasar, manipulatif, bola","Gerakan manipulatif yang menggunakan bola adalah ...","melempar dan menangkap","berdiri dengan satu kaki","membungkuk","berjalan berkelok","a"
"pg","mudah","aktif","ganjil","Sepak Bola","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan teknik menggiring bola","sepak bola, dribbling, permainan bola besar","Membawa bola sambil bergerak dalam sepak bola disebut ...","servis","dribbling","smash","blocking","b"
"pg","sedang","aktif","ganjil","Sepak Bola","Kurikulum Merdeka - Fase B","Siswa mampu memilih bagian kaki untuk operan pendek","sepak bola, passing, kaki bagian dalam","Bagian kaki yang paling tepat digunakan untuk operan pendek yang akurat adalah ...","kaki bagian dalam","ujung jari kaki","tumit","lutut","a"
"pg","mudah","arsip","ganjil","Sepak Bola","Kurikulum 2013 Revisi","Siswa mampu mengenali tugas pemain sepak bola","sepak bola, penjaga gawang, posisi pemain","Pemain yang boleh menangkap bola dengan tangan di daerah penalti sendiri adalah ...","penyerang","gelandang","penjaga gawang","bek sayap","c"
"pg","mudah","aktif","ganjil","Bola Basket","Kurikulum Merdeka - Fase B","Siswa mampu mengenali teknik menggiring bola basket","bola basket, dribbling, bola besar","Gerakan memantulkan bola ke lantai secara terus-menerus disebut ...","shooting","dribbling","servis","heading","b"
"pg","sedang","aktif","ganjil","Bola Basket","Kurikulum Merdeka - Fase B","Siswa mampu mengenali operan dari depan dada","bola basket, chest pass, passing","Operan bola basket yang dilakukan dari depan dada disebut ...","bounce pass","overhead pass","chest pass","lay-up","c"
"pg","mudah","draft","ganjil","Bola Basket","Kurikulum 2013 Revisi","Siswa mampu mengenali sasaran permainan bola basket","bola basket, ring, sasaran","Bola dalam permainan bola basket dimasukkan ke ...","gawang","net rendah","ring basket","kotak pemukul","c"
"pg","sedang","aktif","ganjil","Bola Voli","Kurikulum Merdeka - Fase B","Siswa mampu menentukan teknik menerima bola rendah","bola voli, passing bawah, bola besar","Teknik yang tepat untuk menerima bola voli yang datang rendah adalah ...","passing bawah","smash","blocking","servis atas","a"
"pg","mudah","aktif","ganjil","Bola Voli","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan awal permainan bola voli","bola voli, servis, permainan","Pukulan untuk memulai permainan bola voli disebut ...","servis","passing","smash","bendungan","a"
"pg","sedang","arsip","ganjil","Bola Voli","Kurikulum 2013 Revisi","Siswa mampu mengetahui jumlah pemain bola voli","bola voli, peraturan, jumlah pemain","Jumlah pemain inti dalam satu regu bola voli adalah ...","empat orang","lima orang","enam orang","tujuh orang","c"
"pg","mudah","aktif","ganjil","Permainan Kasti","Kurikulum Merdeka - Fase B","Siswa mampu mengenali alat permainan kasti","kasti, permainan bola kecil, alat","Alat yang digunakan untuk memukul bola dalam permainan kasti adalah ...","raket","tongkat pemukul","kaki","papan","b"
"pg","sedang","aktif","ganjil","Permainan Rounders","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan tujuan berlari menuju base","rounders, base, bola kecil","Setelah memukul bola dalam rounders, pemain harus segera ...","duduk di tempat","berlari menuju base","keluar lapangan","melempar tongkat","b"
"pg","mudah","aktif","ganjil","Atletik - Lari","Kurikulum Merdeka - Fase B","Siswa mampu mengenali lari jarak pendek","atletik, sprint, lari","Lari dengan kecepatan maksimal pada jarak pendek disebut ...","jogging","sprint","maraton","jalan santai","b"
"pg","sedang","aktif","ganjil","Atletik - Lari","Kurikulum Merdeka - Fase B","Siswa mampu mengenali jenis start lari cepat","atletik, start jongkok, sprint","Jenis start yang digunakan dalam lari jarak pendek adalah ...","start berdiri","start melayang","start jongkok","start duduk","c"
"pg","sedang","draft","ganjil","Atletik - Lompat Jauh","Kurikulum Merdeka - Fase B","Siswa mampu menentukan tumpuan lompat jauh","atletik, lompat jauh, tolakan","Tolakan pada lompat jauh dilakukan menggunakan ...","kedua tangan","satu kaki terkuat","kedua lutut","kepala","b"
"pg","sedang","aktif","ganjil","Atletik - Lompat Jauh","Kurikulum 2013 Revisi","Siswa mampu memilih cara mendarat yang aman","atletik, lompat jauh, pendaratan","Pendaratan yang benar pada lompat jauh dilakukan dengan ...","satu tangan terlebih dahulu","kedua kaki dan lutut mengeper","punggung terlebih dahulu","lutut tetap lurus dan kaku","b"
"pg","mudah","aktif","genap","Senam Keseimbangan","Kurikulum Merdeka - Fase B","Siswa mampu melatih keseimbangan statis","senam, keseimbangan, satu kaki","Berdiri dengan satu kaki terutama melatih ...","kecepatan","keseimbangan","kekuatan pukulan","ketepatan lemparan","b"
"pg","sedang","aktif","genap","Senam Lantai","Kurikulum Merdeka - Fase B","Siswa mampu memahami sikap aman guling depan","senam lantai, guling depan, keselamatan","Saat melakukan guling depan, dagu sebaiknya ...","diangkat tinggi","dirapatkan ke dada","menoleh ke samping","dibiarkan bebas","b"
"pg","mudah","arsip","genap","Senam Lantai","Kurikulum 2013 Revisi","Siswa mampu mengenali alat keselamatan senam","senam lantai, matras, keselamatan","Alas yang digunakan agar senam lantai lebih aman adalah ...","matras","papan kayu","lantai keramik","meja","a"
"pg","mudah","aktif","genap","Gerak Berirama","Kurikulum Merdeka - Fase B","Siswa mampu menyesuaikan gerak dengan irama","gerak berirama, musik, koordinasi","Gerak berirama dilakukan mengikuti ...","warna pakaian","irama atau ketukan","arah angin","ukuran lapangan","b"
"pg","mudah","aktif","genap","Pemanasan","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan manfaat pemanasan","pemanasan, cedera, kebugaran","Pemanasan sebelum olahraga bertujuan untuk ...","membuat tubuh cepat lelah","mengurangi risiko cedera","menurunkan suhu tubuh","membuat otot kaku","b"
"pg","sedang","aktif","genap","Pendinginan","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan fungsi pendinginan","pendinginan, pemulihan, kebugaran","Pendinginan setelah olahraga membantu ...","tubuh kembali ke kondisi normal secara bertahap","denyut jantung meningkat terus","otot menjadi semakin tegang","tubuh kehilangan semua cairan","a"
"pg","sedang","draft","genap","Denyut Nadi","Kurikulum 2013 Revisi","Siswa mampu mengamati respons tubuh setelah aktivitas","denyut nadi, kebugaran, pengamatan","Setelah berlari, denyut nadi biasanya ...","lebih cepat","berhenti","selalu lebih lambat","tidak berubah sama sekali","a"
"pg","sedang","aktif","genap","Daya Tahan","Kurikulum Merdeka - Fase B","Siswa mampu memilih latihan daya tahan","kebugaran, daya tahan, jogging","Latihan yang tepat untuk meningkatkan daya tahan adalah ...","jogging secara teratur","tidur sepanjang hari","berdiri diam","menahan napas","a"
"pg","sedang","aktif","genap","Kekuatan Otot","Kurikulum Merdeka - Fase B","Siswa mampu memilih latihan kekuatan sederhana","kebugaran, kekuatan, push-up","Gerakan push-up terutama melatih kekuatan otot ...","lengan dan dada","mata dan telinga","jari kaki saja","leher saja","a"
"pg","mudah","arsip","genap","Kelenturan","Kurikulum 2013 Revisi","Siswa mampu mengenali latihan kelenturan","kebugaran, kelenturan, peregangan","Latihan untuk meningkatkan kelenturan adalah ...","peregangan","tidur","menonton televisi","duduk tanpa bergerak","a"
"pg","mudah","aktif","genap","Keselamatan di Air","Kurikulum Merdeka - Fase B","Siswa mampu menerapkan aturan keselamatan di kolam","renang, keselamatan, kolam","Sebelum masuk kolam renang, tindakan yang benar adalah ...","berlari di tepi kolam","melakukan pemanasan dan mengikuti arahan guru","mendorong teman ke air","berenang sendirian tanpa izin","b"
"pg","sulit","aktif","genap","Renang Gaya Bebas","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan teknik mengambil napas","renang, gaya bebas, pernapasan","Pada renang gaya bebas, udara diambil dengan cara ...","menolehkan kepala ke samping","menundukkan kepala ke dasar kolam","mengangkat kedua kaki","menutup mulut sepanjang waktu","a"
"pg","sedang","draft","genap","Pengenalan Air","Kurikulum Merdeka - Fase B","Siswa mampu melakukan sikap mengapung dasar","renang, mengapung, pengenalan air","Agar lebih mudah mengapung, tubuh sebaiknya ...","tegang dan kaku","rileks serta direntangkan","ditekuk sekecil mungkin","bergerak tanpa aturan","b"
"pg","sedang","aktif","genap","Gizi Seimbang","Kurikulum Merdeka - Fase B","Siswa mampu memilih makanan bergizi seimbang","gizi, makanan sehat, kesehatan","Menu yang paling mencerminkan gizi seimbang adalah ...","nasi, lauk, sayur, buah, dan air putih","permen dan minuman bersoda","keripik saja","mi instan tanpa lauk setiap hari","a"
"pg","mudah","aktif","genap","Kebutuhan Cairan","Kurikulum Merdeka - Fase B","Siswa mampu menjaga kebutuhan cairan saat olahraga","hidrasi, air putih, kesehatan","Minuman terbaik untuk mengganti cairan setelah aktivitas ringan adalah ...","air putih","minuman bersoda","kopi pekat","sirup sangat manis","a"
"pg","mudah","aktif","genap","Kebersihan Diri","Kurikulum Merdeka - Fase B","Siswa mampu menjaga kebersihan setelah olahraga","kebersihan, mandi, kesehatan","Setelah berolahraga dan berkeringat, sebaiknya kita ...","membiarkan pakaian tetap basah","mandi dan mengganti pakaian bersih","langsung tidur dengan pakaian olahraga","memakai handuk teman","b"
"pg","sedang","aktif","genap","Pertolongan Pertama","Kurikulum Merdeka - Fase B","Siswa mampu melakukan pertolongan awal luka ringan","P3K, luka ringan, keselamatan","Saat mengalami luka lecet ringan, tindakan awal yang tepat adalah ...","membersihkan luka dengan air bersih","menggosok luka dengan tanah","menutup luka tanpa dibersihkan","tetap bermain hingga luka kotor","a"
"pg","sulit","arsip","genap","Pertolongan Pertama","Kurikulum 2013 Revisi","Siswa mampu memilih penanganan awal keseleo","P3K, keseleo, kompres dingin","Ketika pergelangan kaki terkilir saat olahraga, tindakan awal yang tepat adalah ...","memaksa terus berlari","mengistirahatkan dan mengompres dingin","memijat sekuat-kuatnya","merendam dengan air sangat panas segera","b"
"pg","sedang","aktif","genap","Istirahat Sehat","Kurikulum Merdeka - Fase B","Siswa mampu memahami kebutuhan tidur anak","tidur, istirahat, kesehatan","Lama tidur malam yang dianjurkan bagi anak usia sekolah dasar umumnya sekitar ...","3-4 jam","5-6 jam","9-12 jam","14-16 jam setiap malam","c"
"pg","mudah","aktif","genap","Bahaya Rokok","Kurikulum Merdeka - Fase B","Siswa mampu mengenali dampak buruk rokok","rokok, paru-paru, hidup sehat","Kebiasaan merokok dapat merusak terutama organ ...","paru-paru","kuku","rambut","gigi susu saja","a"
"pg","sedang","aktif","ganjil","Sportivitas","Kurikulum Merdeka - Fase B","Siswa mampu menunjukkan perilaku sportif","sportivitas, fair play, karakter","Sikap sportif ketika kalah dalam pertandingan adalah ...","menyalahkan wasit tanpa alasan","menerima hasil dan memberi selamat kepada lawan","meninggalkan lapangan dengan marah","mengejek pemenang","b"
"pg","sedang","aktif","ganjil","Kerja Sama Tim","Kurikulum Merdeka - Fase B","Siswa mampu menerapkan kerja sama dalam permainan","kerja sama, tim, karakter","Contoh kerja sama yang baik dalam permainan beregu adalah ...","bermain sendiri tanpa mengoper","berkomunikasi dan saling membantu","berebut bola dengan teman satu tim","mengabaikan strategi kelompok","b"
"essay","mudah","aktif","ganjil","Gerak Dasar","Kurikulum Merdeka - Fase B","Siswa mampu mengelompokkan jenis gerak dasar","gerak dasar, lokomotor, nonlokomotor","Jelaskan perbedaan gerak lokomotor dan nonlokomotor, lalu berikan masing-masing dua contoh.","","","","","Lokomotor berpindah tempat, misalnya berjalan dan berlari. Nonlokomotor dilakukan tanpa berpindah tempat, misalnya membungkuk dan memutar badan."
"essay","sedang","aktif","ganjil","Sepak Bola","Kurikulum Merdeka - Fase B","Siswa mampu menjelaskan teknik operan pendek","sepak bola, passing, teknik","Tuliskan langkah-langkah melakukan operan pendek menggunakan kaki bagian dalam.","","","","","Kaki tumpu diletakkan di samping bola, kaki penendang diputar keluar, bagian dalam kaki mengenai tengah bola, lalu gerakan dilanjutkan ke arah sasaran."
